,0,1,2
0,Have Yourself A Merry Little Christmas,0,0- 9-m7 2-m7 7-7 0- 9-m7 2-m7 7-7 0- 9-m7 2-m7 7-7 0- 9-m7 2-m7 7-7 4-7 9-7 2-7 7- 7-7 0- 9-m7 2-m7 7-7 0- 9-m7 2-m7 7-7 0- 9-m7 2-m7 4-7 9-m 0- 0-7 5-maj7 5-m6 4-m 3-dim 2-m 7-7 0-maj7 9-m 11-7 4-m 9-7 7-7 2-7 2-m7 7-7 0- 9-m7 2-m7 7-7 0- 9-m7 2-m7 7-7 0- 9-m7 2-m7 4-7 9-m 0- 0-7 5-maj7 2-m7 7-7 0-
1,White Christmas,0,2- 2-sus4 2- 2- 4-m 9- 9-7 7- 4-m 9- 2- 2-sus4 2- 2- 2-maj7 2-7 7- 7-m 2- 11-m 4-m 9- 9-7 2- 4-m 9- 9-7 7- 4-m 9- 2- 2-sus4 2- 2- 2-maj7 2-7 7- 7-m 2- 11-m 4-m 9- 2- 2- 4-m 9- 9-7 7- 4-m 9- 2- 2-sus4 2- 2- 2-maj7 2-7 7- 7-m 2- 11-m 4-m 9- 9-7 2- 4-m 9- 9-7 7- 4-m 2- 2-sus4 2- 2- 2-maj7 2-7 7- 7-m 2- 11-m 4-m 9- 2- 2-sus4 2-
2,Jingle Bell Rock,0,0- 0- 0-maj7 0-6 0- 2-m 7-7 2-m 7-7 2-m 7-7 7- 2-m 7-7 0- 0-maj7 0-6 0- 2-m 7-7 2-m 7-7 2-m 7-7 2-m 7- 0- 5- 5-m 0- 0-7 2- 2-7 7- 7-7 7- 7-7 0- 0-maj7 0-6 0- 9-7 5- 5-m 2-7 5-m 2-m 7- 0- 0- 0-maj7 0-6 0- 2-m 7-7 2-m 7-7 2-m 7-7 2-m 7- 0- 5- 5-m 0- 0-7 2- 2-7 7- 7-7 7- 7-7 0- 0-maj7 0-6 0- 9-7 5- 5-m 2-7 5-m 2-m 7- 2-m 7- 2-m 7- 7-7 0-
3,Let It Snow,0,11- 6-7 11- 11- 2-dim 6- 1-m 8-7 1-m 6-7 11- 6- 11- 6-7 11- 11- 2-dim 6- 1-m 8-7 1-m 6-7 11- 6- 11- 6-7 11- 11- 2-dim 6- 1-m 8-7 1-m 6-7 11- 6- 6- 8-m 1-7 6- 6- 8-7 1-7 6- 11- 6-7 11- 11- 2-dim 6- 1-m 8-7 1-m 6-7 11- 1- 8-7 1- 1- 4-dim 8- 3-m 10-7 3-m 8-7 1- 8- 1- 8-7 1- 1- 4-dim 8- 3-m 10-7 3-m 8-7 1- 8- 1- 8-7 1- 1- 4-dim 8- 3-m 10-7 3-m 8-7 1- 8- 8- 10-m 3-7 8- 8- 10-7 3-7 8- 1- 8-7 1- 1- 4-dim 8- 3-m 10-7 3-m 8-7 1- 3- 10-7 3- 3- 6-dim 10- 5-m 0-7 5-m 10-7 3- 10- 3- 10-7 3- 3- 6-dim 10- 5-m 0-7 5-m 10-7 3- 10- 3- 10-7 3- 3- 6-dim 10- 5-m 0-7 5-m 10-7 3- 10- 10- 0-m 5-7 10- 10- 0-7 5-7 10- 3- 10-7 3- 3- 6-dim 10- 5-m 0-7 5-m 10-7 3- 4- 11-7 4- 4- 7-dim 11- 6-m 1-7 6-m 11-7 4- 11- 4- 11-7 4- 4- 7-dim 11- 6-m 1-7 6-m 11-7 4- 11- 4- 11-7 4- 4- 7-dim 11- 6-m 1-7 6-m 11-7 4- 11- 11- 1-m 6-7 11- 11- 1-7 6-7 11- 4- 11-7 4- 4- 7-dim 11- 6-m 1-7 6-m 11-7 4- 6- 1-7 6- 6- 9-dim 1- 8-m 3-7 8-m 1-7 6- 1- 6- 1-7 6- 6- 9-dim 1- 8-m 3-7 8-m 1-7 6- 1- 6- 1-7 6- 6- 9-dim 1- 8-m 3-7 8-m 1-7 6- 1- 1- 3-m 8-7 1- 1- 3-7 8-7 1- 6- 1-7 6- 6- 9-dim 1- 8-m 3-7 8-m 1-7 6- 8- 3-7 8- 8- 11-dim 3- 10-m 5-7 10-m 3-7 8- 3- 8- 3-7 8- 8- 11-dim 3- 10-m 5-7 10-m 3-7 8- 3- 8- 3-7 8- 8- 11-dim 3- 10-m 5-7 10-m 3-7 8- 3- 3- 5-m 10-7 3- 3- 5-7 10-7 3- 8- 3-7 8- 8- 11-dim 3- 10-m 5-7 10-m 3-7 8-
4,Rockin Around The Christmas Tree,0,0- 9-m 5- 7- 0- 7-7 2-m7 7-7 2-m7 7-7 2-m7 7-7 0- 0- 7-7 2-m7 7-7 2-m7 7-7 2-m7 7-7 0- 5- 4-m 9-m 9-mmaj7 9-m7 2-7 7-7 0- 7-7 2-m7 7-7 2-m7 7-7 2-m7 7-7 0- 0- 7-7 2-m7 7-7 2-m 7-7 2-m 7-7 0- 5- 4-m 9-m 9-mmaj7 9-m7 2-7 7-7 0- 7-7 2-m7 7-7 2-m7 7-7 7-7 0- 9-m 5- 0-
5,Winter Wonderland,0,0- 7-7 7- 5- 4-m 2-m 9-m 7-7 0- 0- 7-7 7- 5- 4-m 2-m 9-m 7-7 0- 4- 9- 4- 4- 9- 4- 7- 0- 7- 7- 2-7 7- 7-7 0- 7-7 7- 5- 4-m 2-m 9-m 7-7 0- 4- 9- 4- 4- 9- 4- 7- 0- 7- 7- 2-7 7- 7-7 0- 7-7 7- 5- 4-m 2-m 9-m 7-7 0- 9-m 7-7 0- 9-m 7-7 0-
6,Folsom Prison Blues,0,1- 1-7 6- 1- 8-7 1- 1- 1-7 6- 1- 8-7 1- 1- 1-7 1- 1-7 6- 6- 1- 1- 8-7 8-7 1- 1- 1-7 6- 1- 8-7 1- 1- 1-7 1- 1-7 6- 6- 1- 1- 8-7 8-7 1- 1- 1-7 6- 1- 8-7 1-
7,Blue Christmas,0,0- 7- 7-7 0- 0-7 0- 5- 2- 7-7 7- 7-7 0- 7- 7-7 0- 0-7 0- 5- 2- 7-7 0- 0- 7- 7-7 0- 0-7 0- 5- 2- 7-7 0- 10- 5- 5-7 10- 10-7 10- 3- 0- 5-7 5- 5-7 10- 5- 5-7 10- 10-7 10- 3- 0- 5-7 10- 10- 5- 5-7 10- 10-7 10- 3- 0- 5-7 10-
8,Ill Be Home For Christmas,0,0- 4-m 2-m 7-7 0- 7-m 9- 2-m 5-m 7-7 0- 9-m 2-7 2-m 7-7 0- 4-m 2-m 7-7 0- 7-m 9- 2-m 5- 5-m 0- 9-7 2-7 2-m 7- 0- 7- 9-7 2-7 7- 4-7 9-m 0- 2-7 7- 4-m 9-7 9-m 2-7 7- 9-7 2-7 7- 4-7 9-m 0- 0-m 7- 4-7 9-7 2-7 9-m 7-
9,I Walk The Line,0,7-7 0- 7-7 0- 5- 0- 7-7 0- 0-7 5- 0-7 5- 10- 5- 0-7 5- 5-7 10- 5-7 10- 3- 10- 5-7 10- 0-7 5- 0-7 5- 10- 5- 0-7 5- 7-7 0- 7-7 0- 5- 0- 7-7 0-
